Observation,HHSEX,AGE,EDUC,MARRIED,KIDS,LF,FAMSTRUCT,RACE,FOODHOME,FOODAWAY,FOODDELV,INCOME,WAGEINC,BUSSEFARMINC,INTDIVINC,KGINC,SSRETINC,TRANSFOTHINC,PENACCTWD,NORMINC,SAVED,BNKRUPLAST5,KNOWL
104,1,59,9,2,0,1,3,1,3120,7280,0,139743.8254,0,71897.18553,1518.954624,3827.765652,0,0,0,139743.8254,0,0,6
105,1,22,9,2,0,1,2,2,1560,480,0,7412.498564,4050.545663,0,0,0,0,1539.207352,0,9194.738656,0,0,8
106,1,37,8,2,1,1,1,3,2400,600,480,43543.36588,43543.36588,0,0,101.2636416,0,0,0,32404.36531,1,0,5
107,1,29,11,1,1,1,4,1,5200,5200,0,74935.09477,74935.09477,0,0,0,0,0,0,91137.27743,1,0,7
108,1,25,8,1,1,1,4,5,4800,600,0,26328.54681,25315.9104,0,0,0,0,1215.163699,0,26328.54681,0,0,5
109,2,46,12,2,0,1,2,5,6000,1200,0,156958.6445,143794.3711,0,876.9431361,0,13164.27341,0,0,115440.5514,1,0,10
110,1,29,9,2,0,1,2,1,1800,960,264,35037.21999,33417.00172,0,0,0,1620.218265,0,0,35037.21999,1,0,5
111,2,86,12,2,1,0,1,1,7800,4200,0,244652.9581,0,-1215.163699,82351.64388,17417.34635,146629.753,0,0,244652.9581,1,0,4
112,1,25,12,2,0,1,2,2,1560,520,0,22480.52843,22480.52843,0,0,0,0,0,0,21265.36473,0,0,2
113,1,74,9,1,0,0,5,1,3848,2808,0,251741.413,0,0,65315.04882,0,112605.1694,0,56800,251741.413,1,0,7
114,2,29,8,2,0,1,2,3,2080,360,240,6825.169443,6237.840322,0,0,0,0,607.5818495,0,6825.169443,0,0,8
115,1,42,11,1,1,1,4,1,5400,1200,0,205970.247,202527.2832,0,0,3341.700172,0,0,0,116453.1878,1,0,6
116,1,32,8,1,0,1,5,1,4576,1800,0,60758.18495,60758.18495,0,0,0,0,0,0,60758.18495,1,0,10
117,1,62,12,1,0,1,5,1,24000,15000,0,22326607.7,1405539.345,19242117.17,688299.0982,67036.53073,0,61568.29408,0,13601732.34,1,0,7
118,1,81,14,1,0,0,5,1,4800,1488,0,109364.7329,0,3827.765652,0,0,105719.2418,0,20000,103288.9144,0,0,8
